id,name,kota_id/id,code
wilayah_kecamatan_72.06.10,Bahodopi,wilayah_kota_72.06,10
wilayah_kecamatan_12.05.01,Bahorok,wilayah_kota_12.05,01
wilayah_kecamatan_18.08.05,Bahuga,wilayah_kota_18.08,05
wilayah_kecamatan_74.05.20,Baito,wilayah_kota_74.05,20
wilayah_kecamatan_11.71.01,Baiturrahman,wilayah_kota_11.71,01
wilayah_kecamatan_11.06.20,Baitussalam,wilayah_kota_11.06,20
wilayah_kecamatan_53.09.06,Bajawa,wilayah_kota_53.09,06
wilayah_kecamatan_53.09.15,Bajawa Utara,wilayah_kota_53.09,15
wilayah_kecamatan_73.06.02,Bajeng,wilayah_kota_73.06,02
wilayah_kecamatan_73.06.18,Bajeng Barat,wilayah_kota_73.06,18
wilayah_kecamatan_12.76.04,Bajenis,wilayah_kota_12.76,04
wilayah_kecamatan_73.17.04,Bajo,wilayah_kota_73.17,04
wilayah_kecamatan_73.17.20,Bajo Barat,wilayah_kota_73.17,20
wilayah_kecamatan_15.04.07,Bajubang,wilayah_kota_15.04,07
wilayah_kecamatan_63.01.10,Bajuin,wilayah_kota_63.01,10
wilayah_kecamatan_19.01.06,Bakam,wilayah_kota_19.01,06
wilayah_kecamatan_63.05.07,Bakarangan,wilayah_kota_63.05,07
wilayah_kecamatan_18.01.21,Bakauheni,wilayah_kota_18.01,21
wilayah_kecamatan_33.11.10,Baki,wilayah_kota_33.11,10
wilayah_kecamatan_11.01.01,Bakongan,wilayah_kota_11.01,01
wilayah_kecamatan_11.01.15,Bakongan Timur,wilayah_kota_11.01,15
wilayah_kecamatan_12.16.03,Baktiraja,wilayah_kota_12.16,03
