name,kode,kecamatan_id
Airmata,1001,6
Airnona,1003,5
Airo Sapem,2006,15
Airoran,2004,9
Airputih,1005,13
Airterjun,2010,12
Ais,2007,5
Aisa,2001,3
Aisandami,2001,3
Aisasior,2004,13
Aisau,2011,8
Aisyo,2010,1
Aitinyo,2001,6
Aitiri,2010,4
Aitoun,2005,3
Aitrem,2005,3
Aiwa,2018,13
Aiwaraggani,2016,10
Aiwat,2004,15
Aiwesa,2006,12
Aiwow,2025,3
Ajai Siang,2004,6
Ajakkang,2005,4
Ajalase,2013,20
Ajami,2002,24
Ajami Waripi,2006,25
Ajang,2003,5
Ajang Pulu,2011,8
Ajang Pulu,2006,10
Ajanglaleng,2012,24
Ajaobaki,2007,3
Ajee Cut,2018,10
Ajee Pagar Air,2024,10
Ajee Rayeuk,2017,10
Aji Baho,2001,7
Aji Jaya,2012,5
Aji Jaya KNPI,2001,6
Aji Kagungan,2001,22
Aji Kuning,2003,12
Aji Mesir,2024,6
Aji Murni Jaya,2023,6
Aji Permai Talang Buah,2025,6
Ajibarang Kulon,2011,14
Ajibarang Wetan,2012,14
Ajibuhara,2029,4
Ajijahe,2007,4
Ajijulu,2002,4
Ajimbelang,2028,4
Ajin,2011,8
Ajinembah,2013,5
Ajjalireng,2011,17
Ajokwapi,2007,22
Ajubissue,2003,10
Ajuen,2025,8
Ajung,2004,17
Ajung,2008,27
Ajung,2011,8
Ajuraja,2008,3
Aka-akae,2007,8
Akacipong,2004,11
Akah,2014,3
Akamar,2005,13
Akan Tapak,2003,21
Akang Siwah,2012,6
Akar,2005,12
Akar Akar,2005,4
Akar Bagantung,2007,15
Akar Baru,2012,15
Akar Belingkar,2006,16
Akari,2004,24
Akarinda,2007,10
Akas,2004,9
Akas Balane,2008,9
Akatfadedo,2054,2
Akcaya,1016,1
Akcaya,1006,1
Ake Boso,2042,3
Ake Jailolo,2004,13
Ake Jawi,2018,4
Ake Kolano,2007,2
Akeara,2009,5
Akedabo,2005,20
Akedaga,2003,7
Akediri,2020,1
Akedotilou,2005,6
Akegula,2020,6
Akeguraci,2006,6
Akehuda,1020,3
Akejailolo,2006,5
Akeju,2013,2
Akelaha,2010,5
Akelamo,2004,9
Akelamo,2006,3
Akelamo,1001,6
Akelamo Cinga-Cinga,2031,5
Akelamo Kao,2009,22
Akesahu Madutu,2032,5
Akesai,2007,6
Akesibu,2016,3
Akesimbeka,1012,1
Aketernate,2009,24
Aketobatu,2004,6
Aketobololo,2003,6
Aketola,2007,9
Akhelauwe,2008,6
Akhih Majile,2017,16
Aki Jaya,2006,12
Aki Neungoh,2039,6
Akiaput,2005,25
Akima,2007,7
Akkajeng,1001,4
Akkor,2004,6
Akkotengeng,2004,4
Akle,2001,23
Akmakot,2005,1
Akmer,2003,12
Akmuri,2002,25
Ako,2015,2
Akomi,2002,11
Akonobak,2009,18
Akoon,2004,16
Akorek,2006,11
Akoubaida,2002,24
Akris,2083,3
Aksal,2002,33
Akudiomi,2002,3
Akul,2003,9
Akuni,2036,1
Akwibaga,2013,6
Akyako,2008,5
Al Kautsar,2023,4
Alaa Wanggudu,2036,1
Alaaha,2008,11
Alaang,2023,2
Aladadio,2006,10
Alah Air,2006,1
Alah Air Timur,2007,1
Alahan,2018,2
Alahan Kae,2001,11
Alahan Mati,2001,16
Alahan Mati Hilia,2003,16
Alahan Nan Tigo,2002,10
Alahan Panjang,2001,4
Alai,2003,14
Alai,2001,4
Alai,2009,17
Alai,1001,11
Alai,1017,1
Alai Gelombang,1009,1
Alai Parak Kopi,1006,4
Alai Selatan,2013,4
Alai Selatan,2015,17
Alak,1008,1
Alakasing,2005,16
Alakaya,2025,4
Alaku,2007,3
Alala,2005,5
Alalak Padang,2006,20
Alalak Selatan,1003,4
Alalak Tengah,1001,4
Alalak Utara,1002,4
Alale,2005,13
Alam Buana,2007,9
Alam Jaya,2009,10
Alam Jaya,2013,10
Alam Jaya,1006,2
Alam Kenanga,2001,28
Alam Pakuan,2015,5
Alam Panjang,2003,14
Alam Pauh Duo,2001,6
Alam Pelita,2002,28
Alama,2002,18
Alama,2004,23
Alama,2001,15
Alamendah,2005,40
Alang Alang,2010,14
Alang Bonbon,2003,18
Alang Kepayang,2002,2
Alang Laweh,1002,1
Alang-Alang,2001,1
Alang-alang,2012,13
Alang-alang Caruban,2003,19
Alang-Alang Lebar,1001,15
Alang-alang Raya,2012,5
Alangamba,2009,4
Alangga ,1002,3
Alap Atadei,2001,8
Alas,2003,10
Alas Bayur,2001,4
Alas Kokon,2011,16
Alas Malang,2005,22
Alas Marancar,2023,4
Alas Mesikhat,2029,11
Alas Rajah,2004,15
Alas Selatan,2004,10
Alas Sumur,2001,5
Alas Tlogo,2003,22
Alas Utara,2001,10
Alasan,2004,5
Alasan Nggolobuton,2019,9
Alasangker,2016,6
Alasbuluh,2003,18
Alasdowo,2006,20
Alasgung,2005,7
Alaskandang,2015,13
Alaskembang,2004,3
Alasmalang,2012,6
Alasmalang,2002,12
Alasmalang,2006,6
Alasnyiur,2003,13
Alasombo,2007,1
Alaspandan,2007,10
Alasrejo,2009,18
Alassapi,2005,6
Alassumur Kulon,2010,14
Alassumurlor,2016,13
Alastengah,2006,15
Alastengah,2007,12
Alastengah,2014,13
Alastuwo,2002,14
Alastuwo,1005,1
Alaswangi,2001,13
Alat,2002,9
Alata Karya,2021,2
Alatengae,2003,3
Alatep,2004,3
Alausalo,2007,13
Albion Prancis,1009,4
Aldom,2002,1
Ale Lebbae,2019,10
Aleak,2005,10
Alebo,2004,7
Alehanuae,1006,5
Aleleng,2008,18
Alemsom,2002,11
Alen,2030,11
Alenangka,2011,2
Alengge Agung,2004,3
Alenggo,2009,3
Alesalewo,2009,1
Alesilurengnge,2014,10
Alesipitto,2010,8
Aleuti,2008,38
Alewadeng,2009,4
Algadang,2005,3
Algonik,2004,31
Alguru,2002,31
Alhai,2006,50
Aliaga,2010,5
Aliantan,2002,12
Aliduda,2009,43
Alila,2008,2
Alila Selatan,2014,2
Alila Timur,2005,10
Alim,2018,7
Alim Mebung,2017,7
Alimuhuk,2044,2
Alimukim,2007,9
Alindau,2002,25
Alipato,2021,2
Alirji,2002,39
Alitta,2006,3
Alitupu,2009,7
Aliyan,2001,13
Alkani,2008,3
Allaere,2002,7
Allakuang,2010,7
Allamungeng Patue,2009,18
Allang,2003,22
Allang Asaude,2002,4
Alle-Alle,2011,3
Allepolea,1001,12
Alliritengae ,1003,14
Allu Tarowang,2004,11
Allumang,2004,17
Alma,2005,25
Alo,2011,10
Alo Alo,2001,6
Alo Utara,2022,3
Alo'oa,2004,3
Alobaga,2002,24
Aloban,2012,6
Aloban Bair,2005,7
Alolama,1009,1
Alolik,2004,22
Alona,2008,21
Along,2005,2
Aloo,2028,2
Alopur,2003,14
Alor Besar,2004,2
Alor Kecil,2003,2
Alorawe,2022,3
Alosi,2028,9
Alosika,2005,38
Alu,2008,15
Aluan,2009,2
Aluan Besar,2006,2
Aluan Mati,2010,2
Aluan Sumur,2005,2
Alude,2004,12
Alue,2008,5
ALue,2061,16
Alue,2013,31
Alue,2016,12
Alue,2001,13
Alue,2041,6
Alue Abed,2013,6
Alue Abee,2061,4
Alue Adan,2041,24
Alue Ambang,2002,1
Alue Anoe Barat,2005,1
Alue Anoe Timu,2004,1
Alue Awe,2003,25
Alue Awe,2002,1
Alue Bade,2009,22
Alue Bagok,2002,7
Alue Bakong,2002,6
Alue Barat,2023,1
Alue Baro,2009,5
Alue Barueh,2004,9
Alue Bata,2001,8
Alue Batee,2021,10
Alue Batee,2004,16
Alue Batee,2004,7
Alue Bateung Brok,2047,5
Alue Bayeu Utang,2042,10
Alue Beurawe,2007,3
Alue Bie Pusong,2046,10
Alue Bieng,2014,20
Alue Bili,2033,16
Alue Bili Geulumpang,2031,1
Alue Bili Rayeuk,2033,1
Alue Bilie,2010,11
Alue Bilie,2017,5
Alue Blang,2020,4
